Timestamp,TimeString,SensorType,X,Y,Z,Interval(ms)
1743667478560,2025-04-03 17:04:38.560,ACCELEROMETER,-2.0494,6.2204,7.6019,62
1743667478565,2025-04-03 17:04:38.565,ACCELEROMETER,-3.1173,6.0888,9.2683,5
1743667478568,2025-04-03 17:04:38.568,ACCELEROMETER,-2.2362,5.9379,9.4598,3
1743667478572,2025-04-03 17:04:38.572,GYROSCOPE,-0.0108,-1.4783,0.7986,69
1743667478607,2025-04-03 17:04:38.607,ACCELEROMETER,-0.3424,5.7177,9.9458,39
1743667478612,2025-04-03 17:04:38.612,ACCELEROMETER,1.5490,6.2300,9.8381,5
1743667478616,2025-04-03 17:04:38.616,ACCELEROMETER,1.6640,6.0888,7.5157,4
1743667478620,2025-04-03 17:04:38.620,GYROSCOPE,1.1791,-1.3354,0.0490,48
1743667478668,2025-04-03 17:04:38.668,ACCELEROMETER,-0.9744,6.7950,6.6490,52
1743667478674,2025-04-03 17:04:38.674,ACCELEROMETER,-0.3448,7.3744,5.3825,6
1743667478679,2025-04-03 17:04:38.679,ACCELEROMETER,0.0335,6.8597,6.8238,5
1743667478684,2025-04-03 17:04:38.684,GYROSCOPE,0.2842,-0.1216,-0.2295,64
1743667478727,2025-04-03 17:04:38.727,ACCELEROMETER,0.0982,6.9243,7.4989,48
1743667478734,2025-04-03 17:04:38.734,ACCELEROMETER,0.3711,6.7543,6.3354,7
1743667478739,2025-04-03 17:04:38.739,ACCELEROMETER,0.2346,6.1654,5.6770,5
1743667478745,2025-04-03 17:04:38.745,GYROSCOPE,0.2030,0.0360,-0.3859,61
1743667478787,2025-04-03 17:04:38.787,ACCELEROMETER,-1.1899,6.9267,7.1661,48
1743667478794,2025-04-03 17:04:38.794,ACCELEROMETER,-0.4980,6.4910,7.7336,7
1743667478798,2025-04-03 17:04:38.798,ACCELEROMETER,-0.1365,5.9379,7.9203,4
1743667478803,2025-04-03 17:04:38.803,GYROSCOPE,0.4895,-0.5296,-0.3517,58
1743667478848,2025-04-03 17:04:38.848,ACCELEROMETER,-1.0846,6.3641,7.3242,50
1743667478854,2025-04-03 17:04:38.854,ACCELEROMETER,-1.5562,6.8022,6.0552,6
1743667478859,2025-04-03 17:04:38.859,ACCELEROMETER,-0.3926,7.2140,6.2420,5
1743667478864,2025-04-03 17:04:38.864,GYROSCOPE,0.4662,-0.0806,0.0136,61
1743667478908,2025-04-03 17:04:38.908,ACCELEROMETER,0.1389,6.8908,6.4024,49
1743667478914,2025-04-03 17:04:38.914,ACCELEROMETER,-0.8092,7.1709,6.3952,6
1743667478920,2025-04-03 17:04:38.920,ACCELEROMETER,-0.2777,6.9746,6.9938,6
1743667478925,2025-04-03 17:04:38.925,GYROSCOPE,0.2463,-0.0336,-0.0432,61
1743667478967,2025-04-03 17:04:38.967,ACCELEROMETER,-0.3472,7.1087,7.1446,47
1743667478972,2025-04-03 17:04:38.972,ACCELEROMETER,-1.2426,7.4439,6.8070,5
1743667478976,2025-04-03 17:04:38.976,ACCELEROMETER,-0.6871,7.2332,6.9746,4
1743667478980,2025-04-03 17:04:38.980,GYROSCOPE,0.4394,-0.1283,0.0814,55
1743667479027,2025-04-03 17:04:39.027,ACCELEROMETER,-0.4429,7.2164,6.0792,51
1743667479034,2025-04-03 17:04:39.034,ACCELEROMETER,-0.6321,7.4008,5.7584,7
1743667479039,2025-04-03 17:04:39.039,ACCELEROMETER,0.1867,7.7048,5.7584,5
1743667479044,2025-04-03 17:04:39.044,GYROSCOPE,0.2427,0.0709,0.1266,64
1743667479087,2025-04-03 17:04:39.087,ACCELEROMETER,0.2011,7.5732,5.0545,48
1743667479092,2025-04-03 17:04:39.092,ACCELEROMETER,-0.1293,8.1621,2.9544,5
1743667479097,2025-04-03 17:04:39.097,ACCELEROMETER,2.6863,8.4039,14.5211,5
1743667479103,2025-04-03 17:04:39.103,GYROSCOPE,-0.3089,0.1185,-0.2289,59
1743667479148,2025-04-03 17:04:39.148,ACCELEROMETER,-2.7078,6.2899,5.7727,51
1743667479154,2025-04-03 17:04:39.154,ACCELEROMETER,-3.0406,6.8238,4.8483,6
1743667479159,2025-04-03 17:04:39.159,ACCELEROMETER,-1.6975,7.4295,5.0904,5
1743667479164,2025-04-03 17:04:39.164,GYROSCOPE,0.6110,-0.9951,0.3312,61
1743667479208,2025-04-03 17:04:39.208,ACCELEROMETER,0.6081,7.3457,5.5788,49
1743667479215,2025-04-03 17:04:39.215,ACCELEROMETER,1.1133,8.1980,5.8254,7
1743667479220,2025-04-03 17:04:39.220,ACCELEROMETER,1.6376,7.8605,6.2348,5
1743667479226,2025-04-03 17:04:39.226,GYROSCOPE,-0.1935,0.4881,0.0704,62
1743667479268,2025-04-03 17:04:39.268,ACCELEROMETER,0.7829,7.8413,6.5173,48
1743667479275,2025-04-03 17:04:39.275,ACCELEROMETER,-0.5578,7.8389,6.5963,7
1743667479280,2025-04-03 17:04:39.280,ACCELEROMETER,-0.8763,8.3297,6.8693,5
1743667479285,2025-04-03 17:04:39.285,GYROSCOPE,0.0515,0.1570,-0.1019,59
1743667479329,2025-04-03 17:04:39.329,ACCELEROMETER,-0.0239,8.3992,7.0321,49
1743667479336,2025-04-03 17:04:39.336,ACCELEROMETER,0.5938,8.0065,6.6897,7
1743667479341,2025-04-03 17:04:39.341,ACCELEROMETER,-0.5674,7.6450,5.0449,5
1743667479346,2025-04-03 17:04:39.346,GYROSCOPE,0.4003,0.0867,-0.3083,61
