Timestamp,ax,ay,az,gx,gy,gz
1743569065640,0.8351,6.2291,9.2782,-0.0232,0.0373,0.0248
1743569065650,0.8351,6.2291,9.2782,-0.0232,0.0373,0.0248
1743569065660,0.8351,6.2291,9.2782,-0.0232,0.0373,0.0248
1743569065670,0.8351,6.2291,9.2782,-0.0232,0.0373,0.0248
1743569065680,0.5145,6.3912,7.0152,-0.0232,0.0373,0.0248
1743569065690,0.5145,6.3912,7.0152,-0.0232,0.0373,0.0248
1743569065700,0.5145,6.3912,7.0152,-0.0232,0.0373,0.0248
1743569065710,0.5145,6.3912,7.0152,-0.0008,0.0449,0.0392
1743569065720,0.5145,6.3912,7.0152,-0.0008,0.0449,0.0392
1743569065730,0.5145,6.3912,7.0152,-0.0008,0.0449,0.0392
1743569065740,0.7699,6.2985,7.8497,-0.0008,0.0449,0.0392
1743569065750,0.8064,6.3111,7.7803,-0.0008,0.0449,0.0392
1743569065760,0.8064,6.3111,7.7803,-0.0008,0.0449,0.0392
1743569065770,0.8064,6.3111,7.7803,0.0381,-0.0347,0.0078
1743569065780,0.8064,6.3111,7.7803,0.0381,-0.0347,0.0078
1743569065790,0.8064,6.3111,7.7803,0.0381,-0.0347,0.0078
1743569065800,0.8064,6.3111,7.7803,0.0381,-0.0347,0.0078
1743569065810,0.734,6.3829,7.6828,0.0381,-0.0347,0.0078
1743569065820,0.734,6.3829,7.6828,0.0381,-0.0347,0.0078
1743569065830,0.734,6.3829,7.6828,0.0381,-0.0347,0.0078
1743569065840,0.734,6.3829,7.6828,-0.0339,-0.0018,0.0051
1743569065850,0.734,6.3829,7.6828,-0.0339,-0.0018,0.0051
1743569065860,0.734,6.3829,7.6828,-0.0339,-0.0018,0.0051
1743569065870,0.734,6.3829,7.6828,-0.0339,-0.0018,0.0051
1743569065880,0.6772,6.2925,7.6744,-0.0339,-0.0018,0.0051
1743569065890,0.6772,6.2925,7.6744,-0.0339,-0.0018,0.0051
1743569065900,0.6772,6.2925,7.6744,-0.0339,-0.0018,0.0051
1743569065910,0.6772,6.2925,7.6744,0.0408,-0.0283,-0.0078
1743569065920,0.6772,6.2925,7.6744,0.0408,-0.0283,-0.0078
1743569065930,0.6772,6.2925,7.6744,0.0408,-0.0283,-0.0078
1743569065940,0.6006,6.3392,7.7815,0.0408,-0.0283,-0.0078
1743569065950,0.6921,6.3194,7.6875,0.0408,-0.0283,-0.0078
1743569065960,0.6921,6.3194,7.6875,0.0408,-0.0283,-0.0078
1743569065970,0.6921,6.3194,7.6875,0.0945,-0.0918,0.0044
1743569065980,0.6921,6.3194,7.6875,0.0945,-0.0918,0.0044
1743569065990,0.6921,6.3194,7.6875,0.0945,-0.0918,0.0044
1743569066000,0.6921,6.3194,7.6875,0.0945,-0.0918,0.0044
1743569066010,0.7519,6.4373,7.5254,0.0945,-0.0918,0.0044
1743569066020,0.7143,6.4235,7.5511,0.0945,-0.0918,0.0044
1743569066030,0.7143,6.4235,7.5511,0.0945,-0.0918,0.0044
1743569066040,0.7143,6.4235,7.5511,0.1106,-0.0928,0.021
1743569066050,0.7143,6.4235,7.5511,0.1106,-0.0928,0.021
1743569066060,0.7143,6.4235,7.5511,0.1106,-0.0928,0.021
1743569066070,0.7143,6.4235,7.5511,0.1106,-0.0928,0.021
1743569066080,0.8267,6.4325,7.7133,0.1106,-0.0928,0.021
1743569066090,0.8267,6.4325,7.7133,0.1106,-0.0928,0.021
1743569066100,0.8267,6.4325,7.7133,0.1106,-0.0928,0.021
1743569066110,0.8267,6.4325,7.7133,0.1396,-0.0846,0.0342
1743569066120,0.8267,6.4325,7.7133,0.1396,-0.0846,0.0342
1743569066130,0.8267,6.4325,7.7133,0.1396,-0.0846,0.0342
1743569066140,0.7753,6.4696,7.5476,0.1396,-0.0846,0.0342
1743569066150,0.9374,6.6754,7.0331,0.1396,-0.0846,0.0342
1743569066160,0.9374,6.6754,7.0331,0.1396,-0.0846,0.0342
1743569066170,0.9374,6.6754,7.0331,0.0564,-0.0678,0.011
1743569066180,0.9374,6.6754,7.0331,0.0564,-0.0678,0.011
1743569066190,0.9374,6.6754,7.0331,0.0564,-0.0678,0.011
1743569066200,0.9374,6.6754,7.0331,0.0564,-0.0678,0.011
1743569066210,0.9553,6.594,7.3848,0.0564,-0.0678,0.011
1743569066220,0.9553,6.594,7.3848,0.0564,-0.0678,0.011
1743569066230,0.9553,6.594,7.3848,0.0564,-0.0678,0.011
1743569066240,0.9553,6.594,7.3848,-0.005,0.0089,0.0014
1743569066250,0.9553,6.594,7.3848,-0.005,0.0089,0.0014
1743569066260,0.9553,6.594,7.3848,-0.005,0.0089,0.0014
1743569066270,1.0798,6.594,7.2706,-0.005,0.0089,0.0014
1743569066280,1.0798,6.594,7.2706,-0.005,0.0089,0.0014
1743569066290,1.0798,6.594,7.2706,-0.005,0.0089,0.0014
1743569066300,0.9643,6.5204,6.7567,0.0189,-0.1333,-0.0868
1743569066310,0.6329,6.719,6.81,0.0189,-0.1333,-0.0868
1743569066320,0.6329,6.719,6.81,0.0189,-0.1333,-0.0868
1743569066330,0.6329,6.719,6.81,0.0189,-0.1333,-0.0868
1743569066340,0.7256,6.6215,7.2269,0.0189,-0.1333,-0.0868
1743569066350,0.9063,6.5749,7.6534,0.0189,-0.1333,-0.0868
1743569066360,0.9063,6.5749,7.6534,0.0189,-0.1333,-0.0868
1743569066370,0.9063,6.5749,7.6534,-0.121,-0.0399,-0.0079
1743569066380,0.9063,6.5749,7.6534,-0.121,-0.0399,-0.0079
1743569066390,0.9063,6.5749,7.6534,-0.121,-0.0399,-0.0079
1743569066400,0.9063,6.5749,7.6534,-0.121,-0.0399,-0.0079
1743569066410,1.0989,6.5557,7.6116,-0.121,-0.0399,-0.0079
1743569066420,1.0086,6.5533,7.9436,-0.121,-0.0399,-0.0079
1743569066430,1.0086,6.5533,7.9436,-0.121,-0.0399,-0.0079
1743569066440,1.0086,6.5533,7.9436,0.0541,0.1141,-0.0496
1743569066450,1.0086,6.5533,7.9436,0.0541,0.1141,-0.0496
1743569066460,1.0086,6.5533,7.9436,0.0541,0.1141,-0.0496
1743569066470,1.0086,6.5533,7.9436,0.0541,0.1141,-0.0496
1743569066480,0.8177,6.5324,7.1539,0.0541,0.1141,-0.0496
1743569066490,0.9356,6.5797,6.466,0.0541,0.1141,-0.0496
1743569066500,0.9356,6.5797,6.466,0.0541,0.1141,-0.0496
1743569066510,0.9356,6.5797,6.466,-0.1731,1.0194,-0.079
1743569066520,0.9356,6.5797,6.466,-0.1731,1.0194,-0.079
