Timestamp,ax,ay,az,gx,gy,gz
1743569058160,0.5222,6.4164,8.2313,-0.0281,0.0011,-0.0005
1743569058170,0.5222,6.4164,8.2313,-0.0281,0.0011,-0.0005
1743569058180,0.5222,6.4164,8.2313,-0.0281,0.0011,-0.0005
1743569058190,0.5222,6.4164,8.2313,-0.0281,0.0011,-0.0005
1743569058200,0.5222,6.4164,8.2313,-0.0281,0.0011,-0.0005
1743569058210,0.4017,6.3236,7.4722,-0.0281,0.0011,-0.0005
1743569058220,0.4017,6.3236,7.4722,-0.0281,0.0011,-0.0005
1743569058230,0.4017,6.3236,7.4722,-0.0293,0.0373,0.0047
1743569058240,0.4017,6.3236,7.4722,-0.0293,0.0373,0.0047
1743569058250,0.4017,6.3236,7.4722,-0.0293,0.0373,0.0047
1743569058260,0.4017,6.3236,7.4722,-0.0293,0.0373,0.0047
1743569058270,0.4017,6.3236,7.4722,-0.0293,0.0373,0.0047
1743569058280,0.4705,6.3449,7.5598,-0.0293,0.0373,0.0047
1743569058290,0.4705,6.3449,7.5598,-0.0293,0.0373,0.0047
1743569058300,0.4705,6.3449,7.5598,0.0163,-0.0299,0.0273
1743569058310,0.4705,6.3449,7.5598,0.0163,-0.0299,0.0273
1743569058320,0.4705,6.3449,7.5598,0.0163,-0.0299,0.0273
1743569058330,0.4705,6.3449,7.5598,0.0163,-0.0299,0.0273
1743569058340,0.5665,6.3664,7.5374,0.0163,-0.0299,0.0273
1743569058350,0.5665,6.3664,7.5374,0.0163,-0.0299,0.0273
1743569058360,0.5665,6.3664,7.5374,-0.0483,-0.0097,0.0166
1743569058370,0.5665,6.3664,7.5374,-0.0483,-0.0097,0.0166
1743569058380,0.5665,6.3664,7.5374,-0.0483,-0.0097,0.0166
1743569058390,0.5665,6.3664,7.5374,-0.0483,-0.0097,0.0166
1743569058400,0.5665,6.3664,7.5374,-0.0483,-0.0097,0.0166
1743569058410,0.5512,6.2847,7.7198,-0.0483,-0.0097,0.0166
1743569058420,0.5512,6.2847,7.7198,-0.0483,-0.0097,0.0166
1743569058430,0.5512,6.2847,7.7198,0.0067,-0.0018,0.0188
1743569058440,0.5512,6.2847,7.7198,0.0067,-0.0018,0.0188
1743569058450,0.5512,6.2847,7.7198,0.0067,-0.0018,0.0188
1743569058460,0.5512,6.2847,7.7198,0.0067,-0.0018,0.0188
1743569058470,0.5512,6.2847,7.7198,0.0067,-0.0018,0.0188
1743569058480,0.6141,6.3371,7.5476,0.0067,-0.0018,0.0188
1743569058490,0.6141,6.3371,7.5476,-0.0093,0.0245,0.0102
1743569058500,0.6141,6.3371,7.5476,-0.0093,0.0245,0.0102
1743569058510,0.6141,6.3371,7.5476,-0.0093,0.0245,0.0102
