Timestamp,TimeString,SensorType,X,Y,Z,Interval(ms)
1743666345380,2025-04-03 16:45:45.380,GYROSCOPE,0.2312,-1.3750,0.1502,118
1743666345386,2025-04-03 16:45:45.386,ACCELEROMETER,-1.6759,8.8397,5.0688,96
1743666345393,2025-04-03 16:45:45.393,ACCELEROMETER,-2.4995,8.7367,4.7238,7
1743666345399,2025-04-03 16:45:45.399,ACCELEROMETER,-2.0494,9.1485,4.4436,6
1743666345405,2025-04-03 16:45:45.405,GYROSCOPE,0.0150,-0.4404,-0.1143,25
1743666345410,2025-04-03 16:45:45.410,ACCELEROMETER,-0.7422,9.2204,3.2465,11
1743666345417,2025-04-03 16:45:45.417,ACCELEROMETER,-0.6225,8.7631,2.9784,7
1743666345423,2025-04-03 16:45:45.423,ACCELEROMETER,-0.4094,8.7367,2.6791,6
1743666345445,2025-04-03 16:45:45.445,GYROSCOPE,-0.1365,-0.5387,-0.2029,40
1743666345451,2025-04-03 16:45:45.451,ACCELEROMETER,-1.0127,8.9618,2.6456,28
1743666345458,2025-04-03 16:45:45.458,ACCELEROMETER,-1.8603,9.2395,4.3622,7
1743666345465,2025-04-03 16:45:45.465,ACCELEROMETER,-2.0853,8.9618,5.6817,7
1743666345505,2025-04-03 16:45:45.505,GYROSCOPE,0.4487,-0.5295,0.1288,60
1743666345511,2025-04-03 16:45:45.511,ACCELEROMETER,-1.8603,8.1214,4.9515,46
1743666345517,2025-04-03 16:45:45.517,ACCELEROMETER,-1.5586,8.2411,4.0414,6
1743666345522,2025-04-03 16:45:45.522,ACCELEROMETER,-1.6041,9.1222,4.0558,5
1743666345563,2025-04-03 16:45:45.563,GYROSCOPE,0.1237,-0.3335,-0.1540,58
1743666345583,2025-04-03 16:45:45.583,ACCELEROMETER,-1.0606,9.3353,3.3926,61
1743666345591,2025-04-03 16:45:45.591,ACCELEROMETER,-0.6033,9.0576,2.6528,8
1743666345596,2025-04-03 16:45:45.596,ACCELEROMETER,-1.1660,9.3042,3.7828,5
1743666345622,2025-04-03 16:45:45.622,GYROSCOPE,0.2508,-0.2351,-0.2249,59
1743666345631,2025-04-03 16:45:45.631,ACCELEROMETER,-1.3599,9.3473,4.7692,35
1743666345638,2025-04-03 16:45:45.638,ACCELEROMETER,-1.0702,9.0169,3.4764,7
1743666345643,2025-04-03 16:45:45.643,ACCELEROMETER,-1.0534,8.9235,2.0830,5
1743666345679,2025-04-03 16:45:45.679,GYROSCOPE,-0.5342,-1.2143,-0.0636,57
1743666345691,2025-04-03 16:45:45.691,ACCELEROMETER,-1.3216,9.5220,2.8515,48
1743666345698,2025-04-03 16:45:45.698,ACCELEROMETER,-1.6712,9.5029,3.9145,7
1743666345704,2025-04-03 16:45:45.704,ACCELEROMETER,-1.8196,10.1852,3.5554,6
1743666345740,2025-04-03 16:45:45.740,GYROSCOPE,-0.2746,0.1736,-0.0770,61
1743666345749,2025-04-03 16:45:45.749,ACCELEROMETER,-0.9481,8.0975,2.4517,45
1743666345755,2025-04-03 16:45:45.755,ACCELEROMETER,-0.1580,8.1214,5.0521,6
1743666345761,2025-04-03 16:45:45.761,ACCELEROMETER,0.0503,7.9945,6.8262,6
1743666345801,2025-04-03 16:45:45.801,GYROSCOPE,0.0034,1.2475,-0.3183,61
1743666345810,2025-04-03 16:45:45.810,ACCELEROMETER,-0.1867,7.9275,5.2747,49
1743666345816,2025-04-03 16:45:45.816,ACCELEROMETER,-0.2227,8.0089,2.5762,6
1743666345820,2025-04-03 16:45:45.820,ACCELEROMETER,-0.7230,9.1438,2.4086,4
1743666345860,2025-04-03 16:45:45.860,GYROSCOPE,-0.9166,0.3098,-0.3880,59
1743666345869,2025-04-03 16:45:45.869,ACCELEROMETER,-1.0223,8.6194,2.3296,49
1743666345875,2025-04-03 16:45:45.875,ACCELEROMETER,-1.6113,8.2938,2.4565,6
1743666345882,2025-04-03 16:45:45.882,ACCELEROMETER,-2.7342,9.7662,4.3981,7
1743666345921,2025-04-03 16:45:45.921,GYROSCOPE,0.0547,0.6201,0.0518,61
1743666345929,2025-04-03 16:45:45.929,ACCELEROMETER,-3.1723,10.0871,6.8357,47
1743666345936,2025-04-03 16:45:45.936,ACCELEROMETER,-1.5275,8.0759,7.1015,7
1743666345942,2025-04-03 16:45:45.942,ACCELEROMETER,-1.4198,7.7982,5.7464,6
1743666345980,2025-04-03 16:45:45.980,GYROSCOPE,0.1695,0.2890,0.1276,59
1743666345992,2025-04-03 16:45:45.992,ACCELEROMETER,-2.0327,8.1071,4.7429,50
1743666346000,2025-04-03 16:45:46.000,ACCELEROMETER,-2.6264,8.5715,5.1526,8
1743666346007,2025-04-03 16:45:46.007,ACCELEROMETER,-2.0566,8.8062,5.0928,7
1743666346044,2025-04-03 16:45:46.044,GYROSCOPE,0.1994,-0.0250,-0.0239,64
1743666346051,2025-04-03 16:45:46.051,ACCELEROMETER,-1.6185,8.4877,4.5969,44
1743666346057,2025-04-03 16:45:46.057,ACCELEROMETER,-1.8938,8.6984,4.4077,6
1743666346063,2025-04-03 16:45:46.063,ACCELEROMETER,-1.8220,8.8588,4.5729,6
1743666346100,2025-04-03 16:45:46.100,GYROSCOPE,0.0455,0.3825,0.0335,56
1743666346111,2025-04-03 16:45:46.111,ACCELEROMETER,-1.8052,8.5261,4.3335,48
1743666346118,2025-04-03 16:45:46.118,ACCELEROMETER,-1.8986,8.4997,4.1851,7
1743666346124,2025-04-03 16:45:46.124,ACCELEROMETER,-2.1548,8.0400,4.5490,6
1743666346163,2025-04-03 16:45:46.163,GYROSCOPE,0.2954,-0.1502,0.3292,63
1743666346171,2025-04-03 16:45:46.171,ACCELEROMETER,-5.0832,9.4765,5.9212,47
1743666346178,2025-04-03 16:45:46.178,ACCELEROMETER,-1.0774,8.4016,4.0510,7
1743666346184,2025-04-03 16:45:46.184,ACCELEROMETER,-0.2634,9.0049,3.0837,6
1743666346221,2025-04-03 16:45:46.221,GYROSCOPE,0.4517,-0.7733,0.1478,58
1743666346231,2025-04-03 16:45:46.231,ACCELEROMETER,-1.6400,9.4406,3.8259,47
1743666346239,2025-04-03 16:45:46.239,ACCELEROMETER,-2.0159,8.9259,5.8278,8
1743666346245,2025-04-03 16:45:46.245,ACCELEROMETER,-1.9561,8.5093,6.2061,6
1743666346281,2025-04-03 16:45:46.281,GYROSCOPE,2.0485,-1.8631,0.3445,60
1743666346293,2025-04-03 16:45:46.293,ACCELEROMETER,-1.9944,8.4853,6.8980,48
1743666346300,2025-04-03 16:45:46.300,ACCELEROMETER,-1.4078,7.8796,6.7543,7
1743666346307,2025-04-03 16:45:46.307,ACCELEROMETER,-0.6943,8.5739,4.8267,7
1743666346340,2025-04-03 16:45:46.340,GYROSCOPE,-0.0535,3.0978,0.3280,59
1743666346350,2025-04-03 16:45:46.350,ACCELEROMETER,-0.8092,8.7559,4.4556,43
1743666346356,2025-04-03 16:45:46.356,ACCELEROMETER,-0.2610,9.0360,-1.9201,6
1743666346363,2025-04-03 16:45:46.363,ACCELEROMETER,6.9890,8.0305,-10.5492,7
